	t02_mean	t04_mean	theta	prob	log2FC	length	P	locus_tag
HVO_RS07000	65.0373426743457	92.3754219527248	-0.139252108839984	0.189967436364497	-0.506240736900769	656	0.810032563635503	HVO_RS07000
HVO_RS06950	103.8963927893	65.0894778963224	0.165081823639039	0.400179592538568	0.674649318676385	1139	0.599820407461432	HVO_RS06950
HVO_RS06875	14.7527805350682	4.24490327116408	0.480716861513462	0.931688876304857	1.79718330801799	2876	0.0683111236951426	HVO_RS06875
HVO_RS06735	25.6644735289457	21.9949432165086	0.0672399328628336	0.114828139832575	0.222600789262561	1814	0.885171860167425	HVO_RS06735
HVO_RS06705	39.3433411434877	30.7506670445726	0.108165335342974	0.227616211009959	0.355501774620062	1496	0.772383788990041	HVO_RS06705
HVO_RS06440	754.904270186369	697.974929716701	0.0365411957995698	0.0466557822575702	0.113118489330699	308	0.95334421774243	HVO_RS06440
HVO_RS06435	447.489325751641	245.530140337238	0.215959604531158	0.562083212541631	0.865953134147725	1265	0.437916787458369	HVO_RS06435
HVO_RS06420	60.0622654313247	99.367743109863	-0.167813842465935	0.275376741268374	-0.726318706625432	2183	0.724623258731626	HVO_RS06420
HVO_RS06410	412.524179032004	2284.68857832643	-1.03848076612982	0.968584371126936	-2.46944694082511	614	0.0314156288730639	HVO_RS06410
HVO_RS06405	1057.08312411501	7064.36001697826	-1.62688925641776	0.974914709667894	-2.74047004008084	428	0.0250852903321062	HVO_RS06405
HVO_RS06325	2895.46584706904	7776.91545383378	-0.778150126394129	0.953757270867713	-1.42540257483053	254	0.046242729132287	HVO_RS06325
HVO_RS06245	475.997882923993	1370.42903140747	-0.535201027108667	0.919272614906944	-1.52560055711615	707	0.0807273850930562	HVO_RS06245
HVO_RS06235	32.9705697064811	19.3791272749124	0.243995025440757	0.639112855176108	0.766675214421439	1406	0.360887144823892	HVO_RS06235
HVO_RS06230	42.4695446921478	34.1788889560429	0.0775253395305815	0.141841609336737	0.313323141434753	1760	0.858158390663263	HVO_RS06230
HVO_RS06225	411.233860103641	926.71144154889	-0.390971135482615	0.816314110481056	-1.17216112608338	320	0.183685889518944	HVO_RS06225
HVO_RS06220	42.9626868306263	35.0143646497167	0.0950986676527752	0.190425780441187	0.295137311007884	1046	0.809574219558813	HVO_RS06220
HVO_RS06215	108.973791051157	134.36191314116	-0.0862410388216546	0.071010928391667	-0.302143044350096	584	0.928989071608333	HVO_RS06215
HVO_RS06210	5298.72008694734	12637.4097031555	-0.758544837973656	0.952660016731509	-1.25398496189924	257	0.047339983268491	HVO_RS06210
HVO_RS06200	1290.82105155644	5203.2541138955	-1.13743661407295	0.978902422985345	-2.01112515510021	332	0.0210975770146546	HVO_RS06200
HVO_RS18570	2482.51594815144	3974.19196710433	-0.445991152982878	0.86599399097151	-0.678858575461014	287	0.13400600902849	HVO_RS18570
HVO_RS18660	432.752018123631	94.4522163675705	0.508553994642162	0.937627942316076	2.19588399189454	443	0.062372057683924	HVO_RS18660
HVO_RS18685	318.925934146684	20.797856572177	0.815746942809531	0.980963590134724	3.93871466126431	587	0.0190364098652763	HVO_RS18685
HVO_RS18880	573.315214354503	140.146780957667	0.572308506611311	0.950625221998261	2.03238995769307	392	0.0493747780017387	HVO_RS18880
HVO_RS18885	158.893904033384	10.2591107629142	0.773426509725521	0.980482052760532	3.95308618488111	1190	0.0195179472394681	HVO_RS18885
HVO_RS18960	133.870326482174	20.3608102199264	0.565018002809194	0.948859770373582	2.7169693332536	1499	0.0511402296264183	HVO_RS18960
HVO_RS19080	742.029807373873	954.691690476312	-0.16710183161503	0.27314872049632	-0.363557761185742	692	0.72685127950368	HVO_RS19080
HVO_RS19125	293.894563579335	44.2315033548791	0.59768029193568	0.956909360778409	2.7321524894884	680	0.043090639221591	HVO_RS19125
HVO_RS19255	788.127976310512	450.072634199139	0.289982048116554	0.736921920887287	0.808272066595591	914	0.263078079112713	HVO_RS19255
HVO_RS04975	16.4856705014961	20.0326014276344	-0.0792514408564754	0.0594270430346709	-0.281137216092028	446	0.940572956965329	HVO_RS04975
HVO_RS04980	9.19454075549512	7.0299643741206	0.0883187019825118	0.17142564256477	0.387260139253647	1334	0.82857435743523	HVO_RS04980
HVO_RS04985	15.3595202137438	5.65724828909541	0.331648283486019	0.805289562298693	1.44096075576281	1079	0.194710437701307	HVO_RS04985
HVO_RS04990	9.04015517421406	10.4508069080326	-0.0523163332484676	0.0228326604870782	-0.209194895442579	1439	0.977167339512922	HVO_RS04990
HVO_RS04995	23.4339645518241	38.4578257703513	-0.149541974641679	0.219532891311951	-0.714676151992528	1049	0.780467108688049	HVO_RS04995
